EVTOPTA706;G'mar Hatima Tova!;;G'mar Hatima Tova!;;;;;;;;;;;x
EVTOPTA712;Yes, I will thus draw nearer to Hashem.;;Ja, so werde ich mich Haschem nähern.;;;;;;;;;;;x


EVTDESC_Plus_700;The Jewish Community that I am sheltering has prospered and grown under my benevolent rule.;;Die jüdische Gemeinde, die ich beschütze, ist unter meiner gütigen Herrschaft gediehen und gewachsen.;;;;;;;;;;;x
EVTDESC_Plus_701;My liege, I bring news from the [From.PrimaryTitle.GetFullName]. The Jewish merchants that you wisely allowed to settle in the city have grown fat and prosperous under your benevolent rule, and you can expect increased revenue from the taxes and tariffs imposed on their community.;;Mein Herr, ich bringe Nachrichten aus dem [From.PrimaryTitle.GetFullName]. Die jüdischen Kaufleute, denen Ihr in weiser Voraussicht erlaubt habt, sich in der Stadt niederzulassen, sind unter Eurer gütigen Herrschaft fett und wohlhabend geworden, und Ihr könnt mit höheren Einnahmen aus den Steuern und Zöllen rechnen, die ihrer Gemeinschaft auferlegt werden.;;;;;;;;;;;x
EVTDESC_Plus_703;A skilled advisor from the Jewish Community I am sheltering has made his services available to me.;;Ein erfahrener Berater aus der jüdischen Gemeinde, die ich beherberge, hat mir seine Dienste zur Verfügung gestellt.;;;;;;;;;;;x
EVTDESC_Plus_704;A group of Jewish refugees from distant lands have come to my court. They are seeking a new a place to live after being expelled from their former homes and ask for my permission to establish a community in one of my cities.;;Eine Gruppe von jüdischen Flüchtlingen aus fernen Ländern ist an meinen Hof gekommen. Sie sind auf der Suche nach einer neuen Bleibe, nachdem sie aus ihrer früheren Heimat vertrieben wurden, und bitten mich um die Erlaubnis, in einer meiner Städte eine Gemeinde zu gründen.;;;;;;;;;;;x
EVTOPTA_Plus_704;They are welcome!;;Sie sind willkommen!;;;;;;;;;;;x
EVTOPTB_Plus_704;Tell them to move on;;Sagt ihnen, sie sollen weiterziehen;;;;;;;;;;;x
EVTDESC_Plus_705;[From.GetTitledName] has decreed that all Jews in [From.PrimaryTitle.GetName] are to be expelled from the realm and their assets seized by the crown. This includes my own Jewish subjects, who I have no choice but to banish unless I want to openly defy my liege.;;[From.GetTitledName] hat verfügt, dass alle Juden in [From.PrimaryTitle.GetName] aus dem Reich vertrieben werden und ihr Vermögen von der Krone beschlagnahmt wird. Das schließt meine eigenen jüdischen Untertanen ein, die ich nur verbannen kann, wenn ich mich nicht offen gegen meinen Lehnsherrn auflehnen will.;;;;;;;;;;;x
EVTOPTA_Plus_705;Bow to [From.GetHerHis] demands;;Beugt Euch den Forderungen von [From.GetHerHis];;;;;;;;;;;x
EVTOPTB_Plus_705;Never!;;Niemals!;;;;;;;;;;;x
EVTDESC_Plus_706;The holy fast of Yom Kippur is soon upon us and all faithful Jews, save the infirm and those on a journey, must observe the fast during a 25 hour period after the Seudah Mafseket.;;Das heilige Fasten des Jom Kippur steht vor der Tür, und alle gläubigen Juden, mit Ausnahme der Kranken und derer, die auf Reisen sind, müssen das Fasten während eines Zeitraums von 25 Stunden nach der Seudah Mafseket einhalten.;;;;;;;;;;;x
EVTDESC_Plus_707;The fast and observance of the holy day of Yom Kippur has ended.;;Das Fasten und die Befolgung des heiligen Tages Jom Kippur ist beendet.;;;;;;;;;;;x
EVTDESC_Plus_708;Yom Kippur approaches and that means the Seudah Mafseket is soon upon us. The preparations for the planned feast to celebrate this have already been made and now the time has come to invite your vassals to your palace. What say you?;;Jom Kippur rückt näher und das bedeutet, dass die Seudah Mafseket bald vor der Tür steht. Die Vorbereitungen für das geplante Festmahl zu diesem Anlass wurden bereits getroffen, und nun ist die Zeit gekommen, deine Vasallen in deinen Palast einzuladen. Was meint ihr dazu?;;;;;;;;;;;x
EVTDESC_Plus_709;To celebrate Yom Kippur perhaps you should present a gift to your beloved wife.;;Zur Feier von Jom Kippur solltet ihr eurer geliebten Frau vielleicht ein Geschenk machen.;;;;;;;;;;;x
EVTDESC_Plus_710;Yom Kippur is a blessed time for charity and kindness and in that spirit you could release the prisoners languishing in your dungeons...;;Jom Kippur ist eine gesegnete Zeit für Wohltätigkeit und Freundlichkeit, und in diesem Sinne könntest du die Gefangenen freilassen, die in deinen Kerkern schmachten...;;;;;;;;;;;x
EVTDESC_Plus_711;Hashem teaches the importance of charity and good deeds. There are many poor in [Root.Location.GetName] who could be helped if you but parted with some of your treasury.;;Haschem lehrt die Bedeutung von Wohltätigkeit und guten Taten. Es gibt viele Arme in [Root.Location.GetName], denen geholfen werden könnte, wenn ihr nur etwas von eurem Vermögen abgeben würdet.;;;;;;;;;;;x
EVTDESC_Plus_712;Now is the time for prayers and devoted reading of the Torah. After the sun has set, you could recite the Kol Nidre at the evening service.;;Jetzt ist die Zeit der Gebete und des hingebungsvollen Lesens der Tora. Nachdem die Sonne untergegangen ist, könntest du beim Abendgottesdienst das Kol Nidre rezitieren.;;;;;;;;;;;x
EVTDESC_Plus_713;The fast you have observed during Yom Kippur has taught you the value of moderation in all things and the dangers of indulgence and excess. You feel closer to Hashem.;;Das Fasten an Jom Kippur hat Sie gelehrt, wie wichtig es ist, sich in allen Dingen zu mäßigen, und wie gefährlich es ist, zu viel zu essen und zu trinken. Sie fühlen sich Haschem näher.;;;;;;;;;;;x
EVTDESC_Plus_714;You have given generously to the poor during Yom Kippur and performed many good deeds. The urge to help those in need comes naturally to you.;;Sie haben während Jom Kippur großzügig an die Armen gespendet und viele gute Taten vollbracht. Der Drang, den Bedürftigen zu helfen, ist für Sie ganz natürlich.;;;;;;;;;;;x
EVTDESC_Plus_716;To [GetFromRootCompliment] [Root.GetTitledFirstName],\nI give thanks for your invitation to celebrate Yom Kippur at your palace, but I regret to inform you I cannot attend.\n\nYour servant,\n[From.GetTitledFirstName];;An [GetFromRootCompliment] [Root.GetTitledFirstName],\nIch danke für Ihre Einladung, Jom Kippur in Ihrem Palast zu feiern, aber ich bedaure, Ihnen mitteilen zu müssen, dass ich nicht teilnehmen kann.\n\nIhr Diener,\n[From.GetTitledFirstName];;;;;;;;;;;x
EVTTOOLTIP_PLUS_717;Seudah Mafseket is held.;;Seudah Mafseket wird abgehalten.;;;;;;;;;;;x
EVTDESC_Plus_717;The great banquet you ordered held to celebrate the start of Yom Kippur was a rousing success! The food was exceptional, the entertainment magnificent and a great time was had by all. Your guests seemed suitably impressed by your wealth and generosity.;;Das große Bankett, das Sie zur Feier des Beginns von Jom Kippur bestellt hatten, war ein voller Erfolg! Das Essen war hervorragend, die Unterhaltung großartig und alle hatten viel Spaß. Ihre Gäste schienen angemessen beeindruckt von Ihrem Reichtum und Ihrer Großzügigkeit.;;;;;;;;;;;x
EVTTOOLTIP_PLUS_718;Seudah Mafseket is attended.;;Seudah Mafseket wird besucht.;;;;;;;;;;;x
EVTDESC_Plus_718;The great banquet held by [From.GetTitledName] to celebrate the start of Yom Kippur was a splendid occasion. The food was exceptional, the entertainment magnificent and a great time was had by all.;;Das große Bankett, das von [From.GetTitledName] zur Feier des Beginns von Jom Kippur veranstaltet wurde, war ein großartiges Ereignis. Das Essen war außergewöhnlich, die Unterhaltung großartig, und alle hatten eine großartige Zeit.;;;;;;;;;;;x
EVTDESC_Plus_719;To [Root.GetTitledName]. The start of Yom Kippur draws nea, and to celebrate I have decided to hold a great feast in my palace. You are of course invited.\n\nWith respect,\n[From.GetTitledFirstName];;An [Root.GetTitledName]. Der Beginn von Jom Kippur rückt näher, und um dies zu feiern, habe ich beschlossen, in meinem Palast ein großes Fest zu veranstalten. Ihr seid natürlich eingeladen.\n\nMit Respekt,\n[From.GetTitledFirstName];;;;;;;;;;;x
EVTDESC_Plus_722;Though the fast requires you to abstain from food and drink you helped yourself to enough wine to fall into a drunken stupor.;;Obwohl das Fasten von Euch verlangt, Euch des Essens und Trinkens zu enthalten, habt Ihr Euch so viel Wein genehmigt, dass Ihr in einen Vollrausch gefallen seid.;;;;;;;;;;;x
EVTDESC_Plus_723;Many in [Root.Location.GetName] have donated generously to provide for the poor during as a result of Yom Kippur. The gold has been gathered in an urn but when you approach it to donate your own share, your greedy nature results in your coin purse gaining weight instead of losing it...;;Viele in [Root.Location.GetName] haben großzügig gespendet, um die Armen während Jom Kippur zu versorgen. Das Gold wurde in einer Urne gesammelt, aber als du dich ihr näherst, um deinen eigenen Anteil zu spenden, führt deine gierige Natur dazu, dass dein Geldbeutel an Gewicht zunimmt, anstatt es zu verlieren...;;;;;;;;;;;x
EVTDESC_Plus_724;As a cynical unbeliever you do your best to uphold the appearance of observing the fast but behind closed doors you do not think twice about eating and drinking to your heart's content. Despite your best attempts however you are caught in the act...;;Als zynischer Ungläubiger tun Sie Ihr Bestes, um den Anschein zu wahren, das Fasten einzuhalten, aber hinter verschlossenen Türen denken Sie nicht daran, nach Herzenslust zu essen und zu trinken. Trotz Ihrer besten Bemühungen werden Sie jedoch auf frischer Tat ertappt...;;;;;;;;;;;x
EVTDESC_Plus_725;While the majority of [From.GetName] has converted away from [FromFrom.Religion.GetName] there is still a noticeable minority presence in the province. What should be done with the last few that refuse to convert?;;Während die Mehrheit von [From.GetName] sich von [FromFrom.Religion.GetName] abgewandt hat, gibt es in der Provinz immer noch eine deutliche Minderheit. Was soll man mit den wenigen tun, die sich weigern, zu konvertieren?;;;;;;;;;;;x
EVTOPTAPlus_725;Leave them be;;Sie in Ruhe lassen;;;;;;;;;;;x
EVTOPTBPlus_725;Ease their concerns;;Ihre Bedenken zerstreuen;;;;;;;;;;;x
EVTOPTCPlus_725;Threaten the rest out;;Dem Rest mit dem Tod drohen;;;;;;;;;;;x
